version,completed,total,paired_n,role_correct,step_exact,step_within_5,role_accuracy_pct,step_exact_pct,step_within_5_pct,root_mae
v2,200,200,195,95,40,69,48.717948717948715,20.512820512820515,35.38461538461539,35.17948717948718
v3,196,200,195,87,36,61,44.61538461538461,18.46153846153846,31.28205128205128,36.65128205128205
v4,196,200,195,88,40,68,45.12820512820513,20.512820512820515,34.87179487179487,37.32820512820513
v5,195,200,195,96,42,71,49.23076923076923,21.53846153846154,36.41025641025641,34.53333333333333
